"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","9","0","0"
"US GA checkout tracking","Delete address & cart","","0","0","1","0","0"
"SG GA checkout tracking","Test address page","","0","0","1","0","0"
"Test DLE3 - productClick","","SG","0","0","1","0","0"
"Test DLE3 - productClick","","US","0","0","1","0","0"
"AU GA checkout tracking","Delete address & cart","","1","0","0","0","0"
"Test DLE1 - productImpression","","US","0","0","1","0","0"
"Test DLPL1 - pageView","","AU_HPG","0","0","4","0","0"
"Test DLPL1 - pageView","","US_BLOG","0","0","4","0","0"
"AU GA checkout tracking","AU Test product detail page","","0","0","1","0","0"
"Test DLPL1 - pageView","","SG_CATEGORY","0","0","4","0","0"
"SG GA checkout tracking","Delete address & cart","","0","0","1","0","0"
"SG GA checkout tracking","SG Test product detail page","","0","0","1","0","0"
"Test DLE1 - productImpression","","SG","0","0","1","0","0"
"US GA checkout tracking","Test shipping method page","","1","0","0","0","0"
"SG GA checkout tracking","Test payment page","","0","0","1","0","0"
"SG GA checkout tracking","Test shipping method page","","0","0","1","0","0"
"Test DLE4 - softFilter","","SG","0","0","1","0","0"
"US GA checkout tracking","Test payment page","","1","0","0","0","0"
"US GA checkout tracking","Test address page","","0","0","1","0","0"
"US GA checkout tracking","US Test product detail page","","0","0","1","0","0"
"AU GA checkout tracking","Test address page","","1","0","0","0","0"
"Test DLE4 - softFilter","","US","0","0","1","0","0"
"Test DLE4 - softFilter","","AU","0","0","1","0","0"
"AU GA checkout tracking","Test payment page","","1","0","0","0","0"
"AU GA checkout tracking","Test shipping method page","","1","0","0","0","0"
"Test DLE3 - productClick","","AU","0","0","1","0","0"
"Test DLE1 - productImpression","","AU","0","0","1","0","0"
